"","bdl_id","popular_name"
"160",49587,"Early Hearing Detection and Intervention Act of 2022"
"161",49586,"Paul D. Wellstone Building Act of 2022"
"162",49585,"Big Cat Public Safety Act"
"163",49584,"Cardiovascular Advances in Research and Opportunities Legacy Act"
"164",49583,"Patents for Humanity Act of 2022"
"165",49582,"Empowering the U.S. Fire Administration Act"
"166",49581,"Data Mapping to Save Moms' Lives Act"
"167",49580,NA
"168",49579,"Disaster Assistance for Rural Communities Act"
"169",49578,"Rural Opioid Abuse Prevention Act"
"170",49577,NA
"171",49576,NA
"172",49575,NA
"173",49574,"Preventing PFAS Runoff at Airports Act"
"174",49573,"Community Disaster Resilience Zones Act of 2022"
"175",49572,NA
"176",49571,NA
"177",49570,"Safeguard Tribal Objects of Patrimony Act of 2021"
"178",49569,"SBA Cyber Awareness Act"
"179",49568,"Quantum Computing Cybersecurity Preparedness Act"
"180",49567,"Klamath Tribe Judgment Fund Repeal Act"
"181",49566,NA
"182",49565,NA
"183",49564,NA
"184",49563,NA
"185",49562,"Don Young Alaska Native Health Care Land Transfers Act of 2022"
"186",49561,"Blackwater Trading Post Land Transfer Act"
"187",49560,NA
"188",49559,NA
"189",49558,NA
"190",49557,NA
"191",49556,"21st Century President Act"
"192",49555,"War Crimes Rewards Expansion Act"
"193",49554,NA
"194",49553,"Old Pascua Community Land Acquisition Act"
"195",49552,NA
"196",49551,NA
"197",49550,NA
"198",49549,NA
"199",49548,NA
"200",49547,NA
"201",49546,NA
"202",49545,NA
"203",49544,NA
"204",49543,NA
"205",49542,NA
"206",49541,"Great Lakes Fish and Wildlife Restoration Reauthorization Act of 2022"
"207",49540,NA
"208",49539,NA
"209",49538,NA
"210",49537,NA
"211",49536,NA
"212",49535,NA
"213",49534,NA
"214",49533,NA
"215",49532,"Red River National Wildlife Refuge Boundary Modification Act"
"216",49531,"Veterans Eligible to Transfer School (VETS) Credit Act"
"217",49530,NA
"218",49529,NA
"219",49528,NA
"220",49527,"Human Trafficking Prevention Act of 2022"
"221",49526,NA
"222",49525,"MST Claims Coordination Act"
"223",49524,NA
"224",49523,NA
"225",49522,NA
"226",49521,NA
"227",49520,"Improving Access to the VA Home Loan Benefit Act of 2022"
"228",49519,NA
"229",49518,NA
"230",49517,NA
"231",49516,NA
"232",49515,"Faster Payments to Veterans' Survivors Act of 2022"
"233",49514,NA
"234",49513,"VAWA Technical Amendment Act of 2022"
"235",49512,NA
"236",49511,NA
"237",49510,"Saline Lake Ecosystems in the Great Basin States Program Act of 2022"
"238",49509,"Small Business Cyber Training Act of 2022"
"239",49508,"Iran Hostages Congressional Gold Medal Act"
"240",49507,"Prison Camera Reform Act of 2021"
"241",49506,"Countering Human Trafficking Act of 2021"
"242",49505,"Justice and Mental Health Collaboration Reauthorization Act of 2022"
"243",49504,"Preventing Organizational Conflicts of Interest in Federal Acquisition Act"
"244",49503,"Law Enforcement De-Escalation Training Act of 2022"
"245",49502,NA
"246",49501,NA
"247",49500,NA
"248",49499,"Agua Caliente Land Exchange Fee to Trust Confirmation Act"
"249",49498,"Sami's Law"
"250",49497,"Great Dismal Swamp National Heritage Area Act"
"251",49496,"Hazard Eligibility and Local Projects Act"
"252",49495,NA
"253",49494,"Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021"
"254",49493,"Native American Language Resource Center Act of 2022"
"255",49492,"Protecting American Intellectual Property Act of 2022"
"256",49491,"Durbin Feeling Native American Languages Act of 2022"
"257",49490,"Martha Wright-Reed Just and Reasonable Communications Act of 2022"
"258",49489,"National Heritage Area Act"
"259",49488,"Equal Pay for Team USA Act of 2022"
"260",49487,"Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022"
"261",49486,NA
"262",49485,"Colorado River Indian Tribes Water Resiliency Act of 2022"
"263",49484,"Low Power Protection Act"
"264",49483,"Butterfield Overland National Historic Trail Designation Act"
"265",49482,NA
"266",49481,"Abolish Trafficking Reauthorization Act of 2022"
"267",49480,"Trafficking Victims Prevention and Protection Reauthorization Act of 2022"
"268",49479,"Hualapai Tribe Water Rights Settlement Act of 2022"
"269",49478,NA
"270",49477,"Justice for Victims of War Crimes Act"
"271",49476,NA
"272",49475,"KatimiiyÿAE4AE3n and AmeekyayÿAE4AE1araam Sacred Lands Act"
"273",49474,"Respect for Child Survivors Act"
"274",49473,"National Cemeteries Preservation and Protection Act of 2022"
"275",49472,"State Offices of Rural Health Program Reauthorization Act of 2022"
"276",49471,"Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022"
"277",49470,"Don Young Recognition Act"
"278",49469,NA
"279",49468,"Energy Security and Lightering Independence Act of 2022"
"280",49467,NA
"281",49466,NA
"282",49465,NA
"283",49464,NA
"284",49463,"Accelerating Access to Critical Therapies for ALS Act"
"285",49462,NA
"286",49461,"Capitol Police Emergency Assistance Act of 2021"
"287",49460,NA
"288",49459,NA
"289",49458,NA
"290",49457,NA
"291",49456,NA
"292",49455,"Protecting Medicare and American Farmers from Sequester Cuts Act"
"293",49454,NA
"294",49453,"Protecting Moms Who Served Act of 2021"
"295",49452,"Colonel John M. McHugh Tuition Fairness for Survivors Act of 2021"
"296",49451,"Hire Veteran Health Heroes Act of 2021"
"297",49450,NA
"298",49449,NA
"299",49448,NA
"300",49447,"VA Transparency & Trust Act of 2021"
"301",49446,"Veterans and Family Information Act"
"302",49445,"Protecting America's First Responders Act of 2021"
"303",49444,NA
"304",49443,"Jaime Zapata and Victor Avila Federal Officers and Employees Protection Act"
"305",49442,NA
"306",49441,NA
"307",49440,NA
"308",49439,"Secure Equipment Act of 2021"
"309",49438,NA
"310",49437,"Ensuring Compliance Against Drug Diversion Act of 2021"
"311",49436,"Further Surface Transportation Extension Act of 2021"
"312",49435,NA
"313",49434,NA
"314",49433,"Consider Teachers Act of 2021"
"315",49432,NA
"316",49431,"K-12 Cybersecurity Act of 2021"
"317",49430,NA
"318",49429,"Veterans' Compensation Cost-of-Living Adjustment Act of 2021"
"319",49428,"Surface Transportation Extension Act of 2021"
"320",49427,NA
"321",49426,"Department of Veterans Affairs Expiring Authorities Act of 2021"
"322",49425,NA
"323",49424,"Congressional Budget Justification Transparency Act of 2021"
"324",49423,"Emergency Repatriation Assistance for Returning Americans Act"
"325",49422,"Harlem Hellfighters Congressional Gold Medal Act"
"326",49421,NA
"327",49420,NA
"328",49419,NA
"329",49418,NA
"330",49417,NA
"331",49416,NA
"332",49415,"Emergency Security Supplemental Appropriations Act, 2021"
"333",49414,"Major Medical Facility Authorization Act of 2021"
"334",49413,NA
"335",49412,"Construction Consensus Procurement Improvement Act of 2021"
"336",49411,"VOCA Fix to Sustain the Crime Victims Fund Act of 2021"
"337",49410,NA
"338",49409,NA
"339",49408,NA
"340",49407,NA
"341",49406,NA
"342",49405,"Sgt. Ketchum Rural Veterans Mental Health Act of 2021"
"343",49404,NA
"344",49403,NA
"345",49402,"West Los Angeles VA Campus Improvement Act of 2021"
"346",49401,"Juneteenth National Independence Day Act"
"347",49400,NA
"348",49399,NA
"349",49398,"Alaska Tourism Restoration Act"
"350",49397,NA
"351",49396,"Extending Temporary Emergency Scheduling of Fentanyl Analogues Act"
"352",49395,NA
"353",49394,"Senate Shared Employee Act"
"354",49393,NA
"355",49392,"Advancing Education on Biosimilars Act of 2021"
"356",49391,NA
"357",49390,"PPP Extension Act of 2021"
"358",49389,"COVID-19 Bankruptcy Relief Extension Act of 2021"
"359",49388,NA
"360",49387,NA
"361",49386,"American Rescue Plan Act of 2021"
"362",49385,NA
"363",49384,NA
"364",49383,"Organization of American States Legislative Engagement Act of 2020"
"365",49382,"Building Up Independent Lives and Dreams Act"
"366",49381,"Jimmy Carter National Historical Park Redesignation Act"
"367",49380,NA
"368",49379,"Advancing Research to Prevent Suicide Act"
"369",49378,"Malala Yousafzai Scholarship Act"
"370",49377,"Protect and Restore America's Estuaries Act"
