"","congress_number","n"
"1",86,734
"2",87,803
"3",88,609
"4",89,741
"5",90,573
"6",91,603
"7",92,516
"8",93,576
"9",94,531
"10",95,567
"11",96,532
"12",97,358
"13",98,425
"14",99,363
"15",100,468
"16",101,420
"17",102,416
"18",103,362
"19",104,308
"20",105,361
"21",106,534
